step,q5,m_t,m_id,px,py,pz,qx,qy,qz,qw
19,1.1252380952380954,f,0,0.12647760314941406,0.06304512685139972,0.930934946017795,0.0,0.0,0.0,1
19,1.1252380952380954,f,1,0.04104688245985243,0.06301263927883571,0.9016883273654515,0.0,0.0,0.0,1
19,1.1252380952380954,f,2,0.09700080142550994,0.06304882820977105,0.8996060424804687,0.0,0.0,0.0,1
19,1.1252380952380954,f,3,0.054905708312988286,0.13920342848036027,0.9283092976888019,0.0,0.0,0.0,1
19,1.1252380952380954,m,112,0.12599877260169207,0.06304489968747508,0.9309863754583867,0.11526899237988901,0.6978963369801876,-0.6973417305121289,0.11562124853032436
20,1.2576190476190476,f,0,0.12647659992036364,0.06304372460501537,0.9309442153204053,0.0,0.0,0.0,1
20,1.2576190476190476,f,1,0.04104137620471772,0.0630110089438302,0.9017061186290921,0.0,0.0,0.0,1
20,1.2576190476190476,f,2,0.09699630664643791,0.06304887435549784,0.8996174810500372,0.0,0.0,0.0,1
20,1.2576190476190476,f,3,0.053311884108043855,0.1371513363066174,0.930386476062593,0.0,0.0,0.0,1
20,1.2576190476190476,m,112,0.12599778654137436,0.06304338719893475,0.9309929572903384,0.11522665421713604,0.6979291752239262,-0.6973211846491325,0.1155891429534158
